target_id,source_ids,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_37648599,nhdhr_nhdhr_91687083 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_167256807 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_120020805,2.5189847154188154,1.5460673163730876,976.0,1345.0,11.2836,238659.5995,0.096167008898015,129.9385061839287,69.86669873026382,36.069568586008195
nhdhr_37648997,nhdhr_nhdhr_120018379 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_126212479 : nhdhr_nhdhr_45385910 : nhdhr_nhdhr_91690129 : nhdhr_nhdhr_34124239,2.5592333449895572,1.6664249701196778,117.0,198.0,2.048,842303.6069999998,0.047364818617385396,101.18577075098814,83.48345067134156,43.73804021547951
nhdhr_91593815,nhdhr_nhdhr_91690129 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_75474779 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_91683191 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_91594687,2.7410996181872567,1.9148030394883406,78.0,105.0,-0.5187999999999999,462119.51509999996,-0.1848733744010952,23.15451218423636,120.00660266570873,66.67125195368354
nhdhr_91594493,nhdhr_nhdhr_120020343 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_91690129 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_120018094 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120019712,2.0355273103773213,1.5638542871019736,935.0,1302.0,6.707136,650215.0214000002,0.005544147843942526,122.26733401001016,87.82705058245907,46.26321148983426
nhdhr_91595431,nhdhr_nhdhr_91683191 : nhdhr_nhdhr_91594827 : nhdhr_nhdhr_91687083 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_126212479 : nhdhr_nhdhr_34131191 : nhdhr_nhdhr_120018212,3.6589409618794577,2.2097952692475418,379.0,573.0,6.0712,71471.73087,0.014715947980834976,124.80881506455061,68.89563053489505,35.53529598882283
nhdhr_91595565,nhdhr_nhdhr_91690341 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_91687083 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_91595845 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_120018022 : nhdhr_nhdhr_120018071,2.7755711632832667,3.1037716175286914,1872.0,2616.0,18.9456,73019.5122,0.14969199178644765,151.89532422551474,53.384411799833195,27.18537414393683
nhdhr_91595713,nhdhr_nhdhr_143396594 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_91595845 : nhdhr_nhdhr_120020226 : nhdhr_nhdhr_91594827 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_91687083,3.182193558662263,2.503852486116824,95.0,133.0,-0.5,76121.44746,-0.08466803559206026,22.22222222222222,86.34112484734767,45.39456583372112
nhdhr_91595755,nhdhr_nhdhr_34127708 : nhdhr_nhdhr_91685475 : nhdhr_nhdhr_120018071 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_91688409 : nhdhr_nhdhr_120018074 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120018084,2.484479106417769,1.8991851079514146,2760.0,4441.0,0.6096000000000004,143771.1695,-0.00698151950718684,3.636363636363639,64.02406835615643,32.877081355147354
nhdhr_91595863,nhdhr_nhdhr_91595845 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_91687083 : nhdhr_nhdhr_91594827 : nhdhr_nhdhr_120020226 : nhdhr_nhdhr_91687843 : nhdhr_nhdhr_120018212 : nhdhr_nhdhr_143396594,2.7695794251202233,1.6966093894671999,64.0,72.0,-1.542033,43801666.13038,-0.41937029431895967,69.18099662918097,199.51036634939402,186.47031325031043
nhdhr_91596605,nhdhr_nhdhr_120020367 : nhdhr_nhdhr_75474779 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_120018090 : nhdhr_nhdhr_120018084 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120020204 : nhdhr_nhdhr_34129366,2.9566738313407894,2.434683374924667,466.0,820.0,1.9188,-116566.13127000001,0.07796030116358654,48.98146729973962,80.39457564322737,41.96722239553562
