,PGMTL,GLM_uncal,GLM_uncal (on test),,stratified,> max depth,< min depth,> max sa,< min sa
120020798,3.300276296,2.646571434,2.646571434,0.653704862,FALSE,FALSE,FALSE,FALSE,FALSE
120019513,3.360740315,2.68680771,2.68680771,0.6739326057,FALSE,FALSE,FALSE,FALSE,FALSE
120018220,3.438053778,2.746994834,2.746994834,0.6910589438,FALSE,FALSE,FALSE,FALSE,FALSE
37649149,3.576303217,2.875912003,2.875912003,0.7003912144,FALSE,FALSE,FALSE,FALSE,FALSE
91595845,3.460736172,2.740761543,2.740761543,0.7199746285,TRUE,FALSE,FALSE,FALSE,TRUE
155635994,2.323452941,1.591661603,1.591661603,0.7317913383,TRUE,FALSE,FALSE,FALSE,FALSE
80005045,2.806903964,2.043236828,2.043236828,0.7636671358,TRUE,FALSE,FALSE,FALSE,FALSE
86274749,3.509395633,2.604772658,2.604772658,0.9046229749,FALSE,FALSE,TRUE,FALSE,FALSE
70334209,2.442537324,1.525036066,1.525036066,0.9175012584,FALSE,FALSE,FALSE,FALSE,FALSE
91685209,2.788471859,1.822000019,1.822000019,0.9664718401,TRUE,FALSE,FALSE,FALSE,FALSE
120020236,4.497061477,3.507637814,3.507637814,0.9894236628,FALSE,FALSE,TRUE,FALSE,FALSE
120018090,3.122209476,2.104063024,2.104063024,1.018146452,FALSE,FALSE,TRUE,FALSE,FALSE
143418975,3.924126688,2.878401435,2.878401435,1.045725253,FALSE,FALSE,FALSE,FALSE,FALSE
121839184,2.406546595,1.320313999,1.320313999,1.086232597,FALSE,FALSE,FALSE,FALSE,FALSE
120019294,2.905837958,1.80592794,1.80592794,1.099910018,FALSE,FALSE,FALSE,FALSE,FALSE
155637270,3.430060543,2.267862107,2.267862107,1.162198436,TRUE,FALSE,FALSE,FALSE,FALSE
45730390,5.022092768,3.849512017,3.849512017,1.172580751,TRUE,FALSE,FALSE,FALSE,FALSE
120018107,4.44793121,3.220475884,3.220475884,1.227455326,TRUE,FALSE,FALSE,FALSE,FALSE
126212479,4.421962448,3.191127727,3.191127727,1.230834721,FALSE,FALSE,TRUE,FALSE,FALSE
1102088,1.232232169,2.971418269,,1.232232169,TRUE,FALSE,FALSE,FALSE,FALSE
120018212,3.192725841,1.959876967,1.959876967,1.232848873,TRUE,FALSE,FALSE,FALSE,FALSE
91691877,4.008006709,2.70985145,2.70985145,1.298155259,TRUE,TRUE,FALSE,FALSE,FALSE
143418891,3.811393199,2.496932288,2.496932288,1.314460911,FALSE,FALSE,FALSE,FALSE,FALSE
167256807,5.087167517,3.662640624,3.662640624,1.424526894,TRUE,FALSE,FALSE,FALSE,FALSE
91595755,4.676803456,3.211453887,3.211453887,1.465349569,TRUE,FALSE,FALSE,FALSE,FALSE
120020218,4.122941356,2.653380736,2.653380736,1.46956062,TRUE,FALSE,FALSE,FALSE,FALSE
120018025,4.001821684,2.497275892,2.497275892,1.504545793,FALSE,FALSE,FALSE,FALSE,FALSE
34131145,3.215911531,1.690940845,1.690940845,1.524970686,TRUE,FALSE,FALSE,FALSE,FALSE
47726570,3.427511381,1.806005935,1.806005935,1.621505446,TRUE,FALSE,FALSE,FALSE,FALSE
45385910,3.440158981,1.742997889,1.742997889,1.697161092,FALSE,FALSE,FALSE,FALSE,FALSE
120020206,4.639551455,2.816313246,2.816313246,1.823238208,FALSE,FALSE,FALSE,FALSE,FALSE
120019024,5.064903425,3.034317586,3.034317586,2.030585838,FALSE,FALSE,FALSE,FALSE,FALSE
155445200,5.171287143,3.107954803,3.107954803,2.06333234,TRUE,TRUE,FALSE,FALSE,FALSE
120020090,4.48433904,2.377176807,2.377176807,2.107162233,FALSE,FALSE,TRUE,FALSE,FALSE
120018510,4.411022249,2.243914951,2.243914951,2.167107298,TRUE,FALSE,FALSE,FALSE,FALSE
91690129,4.889321697,2.606582778,2.606582778,2.282738919,FALSE,FALSE,TRUE,FALSE,FALSE
120017988,4.978569517,2.670522469,2.670522469,2.308047048,TRUE,FALSE,FALSE,FALSE,FALSE
45337711,6.503526459,4.160093165,4.160093165,2.343433294,TRUE,FALSE,FALSE,FALSE,TRUE
120019661,5.142489043,2.788684653,2.788684653,2.35380439,TRUE,FALSE,FALSE,FALSE,FALSE
86275133,4.47231307,2.09868363,2.09868363,2.37362944,TRUE,FALSE,FALSE,FALSE,FALSE
120019016,4.387544066,1.739300222,1.739300222,2.648243845,TRUE,TRUE,FALSE,FALSE,FALSE
75654673,4.569368549,1.853901702,1.853901702,2.715466847,FALSE,FALSE,FALSE,FALSE,FALSE
91689407,5.64906975,2.889767115,2.889767115,2.759302635,FALSE,FALSE,TRUE,FALSE,FALSE
120018379,4.620282814,1.826739625,1.826739625,2.793543188,FALSE,FALSE,TRUE,FALSE,FALSE
166870310,4.533332936,1.427997519,1.427997519,3.105335417,FALSE,FALSE,FALSE,FALSE,FALSE
120019716,5.546118219,2.429514634,2.429514634,3.116603585,FALSE,FALSE,FALSE,FALSE,FALSE
1097324,TRAIN,2.821428615,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099052,TRAIN,2.704832239,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099136,TRAIN,2.467768842,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099172,TRAIN,3.929168674,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099240,TRAIN,4.833624961,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099282,TRAIN,2.63000855,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099420,TRAIN,3.874106918,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099430,TRAIN,3.174863211,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099432,TRAIN,2.153108498,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099450,TRAIN,3.62406447,,,TRUE,FALSE,FALSE,FALSE,FALSE
1099526,TRAIN,3.963874593,,,TRUE,FALSE,FALSE,FALSE,FALSE
1100962,TRAIN,2.238746501,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101504,TRAIN,3.255631814,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101544,TRAIN,3.566359976,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101590,TRAIN,4.511946736,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101616,TRAIN,2.692923006,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101636,TRAIN,2.855917507,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101684,TRAIN,2.395932207,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101754,TRAIN,2.576115172,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101778,TRAIN,4.973679101,,,FALSE,FALSE,FALSE,FALSE,FALSE
1101812,TRAIN,4.523323951,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101938,TRAIN,2.420176254,,,TRUE,FALSE,FALSE,FALSE,FALSE
1101942,TRAIN,2.299614682,,,TRUE,FALSE,FALSE,FALSE,FALSE
1102086,TRAIN,3.004752199,,,TRUE,FALSE,FALSE,FALSE,FALSE
1102284,TRAIN,4.779962244,,,TRUE,FALSE,FALSE,FALSE,FALSE
1102366,TRAIN,3.239646477,,,TRUE,FALSE,FALSE,FALSE,FALSE
2349188,TRAIN,2.773322368,,,TRUE,FALSE,FALSE,FALSE,FALSE
2349198,TRAIN,2.91309124,,,TRUE,FALSE,FALSE,FALSE,FALSE
2353946,TRAIN,3.741335885,,,TRUE,FALSE,FALSE,FALSE,FALSE
2384766,TRAIN,4.144842483,,,TRUE,FALSE,FALSE,FALSE,FALSE
2385444,TRAIN,3.341250307,,,TRUE,FALSE,FALSE,FALSE,FALSE
2385496,TRAIN,3.667251372,,,TRUE,FALSE,FALSE,FALSE,FALSE
2385648,TRAIN,3.569934526,,,TRUE,FALSE,FALSE,FALSE,FALSE
2647582,TRAIN,1.856217044,,,TRUE,FALSE,FALSE,FALSE,FALSE
2648034,TRAIN,4.291821492,,,TRUE,FALSE,FALSE,FALSE,FALSE
2723765,TRAIN,1.971616891,,,TRUE,FALSE,FALSE,FALSE,FALSE
2723803,TRAIN,3.123876424,,,TRUE,FALSE,FALSE,FALSE,FALSE
2723871,TRAIN,2.154005678,,,TRUE,FALSE,FALSE,FALSE,FALSE
4250586,TRAIN,3.20845032,,,TRUE,FALSE,FALSE,FALSE,FALSE
4250588,TRAIN,3.335955189,,,TRUE,FALSE,FALSE,FALSE,FALSE
10596466,TRAIN,3.302921692,,,TRUE,FALSE,FALSE,FALSE,FALSE
12160852,TRAIN,1.508040417,,,TRUE,FALSE,FALSE,FALSE,FALSE
12162854,TRAIN,3.325423572,,,TRUE,FALSE,FALSE,FALSE,FALSE
13290898,TRAIN,2.302509027,,,TRUE,FALSE,FALSE,FALSE,FALSE
13293262,TRAIN,2.67709988,,,TRUE,FALSE,FALSE,FALSE,FALSE
13294464,TRAIN,2.678054795,,,TRUE,FALSE,FALSE,FALSE,FALSE
13294928,TRAIN,3.416424211,,,TRUE,FALSE,FALSE,FALSE,FALSE
13343906,TRAIN,1.837614014,,,TRUE,TRUE,FALSE,FALSE,FALSE
13344056,TRAIN,2.617652931,,,TRUE,FALSE,FALSE,FALSE,FALSE
13344170,TRAIN,1.922520415,,,TRUE,FALSE,FALSE,FALSE,FALSE
13344210,TRAIN,1.615390531,,,TRUE,FALSE,FALSE,FALSE,FALSE
